region,district,kindergarten_name,outside_branches,group_count,land_area_built,external_sweeping_area,internal_cleaning_area,garden_area,leased_garden_area,design_capacity,vacant_land_area,educational_building_count,floor_count,wall_material,wall_condition,roof_material,roof_condition,window_condition,floor_condition,door_condition,sports_equipment_available,assembly_hall_condition,kitchen_condition,kitchen_water_supply,electricity_condition,has_generator,has_solar_panels,internal_electrical_condition,lighting_condition,heating_source,heating_fuel_source,boiler_room_condition,internal_heating_condition,water_availability,drinking_water_source,has_fence,internet_type,internet_usage,fire_safety_available,has_cctv,has_public_transport_nearby,accessible_for_disabled,repaired_or_reconstructed,total_students,earthquake_safety,restroom_location,restroom_water_condition,restroom_connected_to_sewage,staff_total,restroom_doors_partitions,restroom_handwash_water_soap,restroom_sewage_issues,restroom_water_issues,restroom_lighting_safe,classrooms_warm_in_winter,indoor_pipeline_installed,children_walk_more_than_3km,meets_modern_infrastructure,satisfied_with_condition,age_score,total_population,utilization_ratio,population_score,infrastructure_score,resources_score,latitude,longitude,need_category,predicted_need_Category
Samarkand,Bulungur district,kindergarten_168,0.0,0.4,0.3,0.6,0.6,0.6,0.0,100,0.3,0.3,0.6,0.8,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.0,187,1.0,1.0,1.0,0.0,3,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,190,1.9,0.0,0.64,0.86,39.7573054,67.27287,RED,RED
Samarkand,Kattakurgan district,kindergarten_169,0.0,0.2,0.3,0.8,0.6,0.3,0.0,120,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122,1.0,0.8,1.0,1.0,1,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.9,0.0,0.3,0.2,123,1.025,0.22,0.35,0.75,39.89716,66.27242,RED,RED
Samarkand,Nurabad district,kindergarten_170,0.0,0.4,0.5,1.0,1.0,1.0,0.6,180,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,180,1.0,0.8,1.0,1.0,24,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,204,1.1333333333333333,0.02,0.76,0.67,39.6100912,66.29622,RED,RED
Samarkand,Narpay district,kindergarten_170,0.0,0.4,0.3,0.3,0.3,0.3,0.0,210,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8,0.5,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,210,1.0,0.4,1.0,1.0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,212,1.0095238095238095,0.28,0.67,0.83,39.9223,65.925,GREEN,GREEN
Samarkand,Payarik district,kindergarten_171,0.0,1.0,0.5,0.3,0.3,0.3,0.3,60,1.0,0.3,0.3,0.8,0.0,0.7,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,60,1.0,0.8,1.0,1.0,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,63,1.05,0.14,0.6,0.92,39.98917,66.84583,YELLOW,RED
Samarkand,Oqdaryo district,kindergarten_171,0.0,0.2,1.0,0.3,0.3,0.3,0.0,123,0.3,0.3,0.3,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,60,1.0,0.8,1.0,1.0,4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,64,0.5203252032520326,0.0,0.63,0.86,39.9092,67.0916,RED,RED
Samarkand,Taylak district,kindergarten_173,0.0,0.4,0.3,0.3,0.3,0.3,0.0,90,1.0,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.8,0.5,0.5,0.8,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,186,0.0,0.8,0.3,0.5,1,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.2,1.0,1.0,1.0,187,2.077777777777778,0.0,0.62,0.67,39.6575,67.2353,RED,RED
Samarkand,Qushrabat district,kindergarten_175,0.0,0.2,1.0,0.3,0.3,0.3,0.0,120,0.3,1.0,0.3,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.7,0.0,0.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.6,84,0.0,0.8,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.0,0.0,0.8,90,0.75,0.61,0.3,0.35,40.3333,66.5,RED,RED
Samarkand,Pastargom district,kindergarten_177,0.0,1.0,1.0,0.6,0.6,0.6,0.0,90,0.3,0.3,0.3,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.4,0.0,0.0,2,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.7,0.0,0.3,0.2,12,0.13333333333333333,0.0,0.3,0.12,39.65,67.2,RED,RED
Samarkand,Paxtachi district,kindergarten_177,0.0,0.4,0.5,1.0,1.0,0.6,0.0,180,0.3,0.3,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,171,1.0,0.8,1.0,1.0,18,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,189,1.05,0.14,0.76,0.87,39.9167,66.0,GREEN,GREEN
