region,district,hospital_name,outside_branches,land_area_built,vacant_land_area,building_count,floors,wall_material,wall_condition,roof_material,roof_condition,window_condition,floor_condition,door_condition,toilet_water_supply,electricity_supply,has_generator,has_solar_panels,internal_electric_condition,lighting_condition,heating_source,heating_condition,has_water,drinking_water_source,has_fence,internet_type,fire_safety,has_cctv,has_transport_nearby,recent_repairs,earthquake_safe,restroom_location,restroom_water_condition,restroom_has_sewage,restroom_doors,restroom_handwash_available,restroom_sewage_issues,restroom_water_issues,restroom_light_safe,is_warm_in_winter,has_water_pipeline,satisfaction,total_staff,medical_staff,bed_capacity,age_score,population_score,infrastructure_score,resources_score,latitude,longitude,need_category,predicted_need_Category
Samarkand,Oqdaryo district,Hospital_085,0.0,0.5,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.7,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.5,0.03720584475757772,0.0,0.0,0.8,0.01,0.75,0.57,39.9092,67.0916,RED,RED
Samarkand,Kattakurgan district,Hospital_086,0.0,0.5,1.0,0.3,0.3,0.3,0.0,0.3,0.1,0.1,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.6,0.3,0.0,1.0,0.7,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.4,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.04657788984470757,0.0,0.0,0.2,0.02,0.22,0.44,39.89716,66.27242,RED,RED
Samarkand,Qushrabat district,Hospital_087,0.0,0.5,0.3,0.3,0.6,0.8,1.0,0.8,0.1,1.0,1.0,1.0,1.0,0.5,1.0,0.3,0.5,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.20071619770428642,0.0,0.0,0.8,0.07,0.68,0.87,40.3333,66.5,YELLOW,YELLOW
Samarkand,Samarkand city,Hospital_089,0.0,0.5,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.8,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010007092127391416,0.00040978772300202793,0.00040978772300202793,1.0,0.0,0.75,0.91,39.65417,66.95972,RED,RED
Samarkand,Payarik district,Hospital_090,0.0,0.5,0.3,1.0,0.3,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.6,0.6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.04111122347493331,0.011328324046365454,0.011328324046365454,0.8,0.02,0.75,0.85,39.98917,66.84583,GREEN,YELLOW
Samarkand,Urgut district,Hospital_091,0.0,0.5,0.3,0.3,0.3,1.0,0.4,0.6,0.1,0.5,0.3,0.1,0.0,0.5,0.0,0.0,0.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.18420670959456023,0.0,0.0,0.2,0.06,0.31,0.49,39.4022,67.2431,RED,RED
Samarkand,Paxtachi district,Hospital_092,0.0,0.5,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.08314690514657695,0.032002556606419784,0.032002556606419784,1.0,0.05,0.75,0.87,39.9167,66.0,GREEN,GREEN
Samarkand,Pastargom district,Hospital_093,0.0,1.0,0.3,0.3,0.3,0.8,0.4,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.4,0.0,0.6,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.5,0.030644378184920436,0.0,0.0,1.0,0.01,0.61,0.64,39.65,67.2,RED,RED
Samarkand,Taylak district,Hospital_094,0.0,0.5,0.3,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.7,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7798303380803787,0.8446735807953556,0.8446735807953556,1.0,0.82,0.75,0.9,39.6575,67.2353,GREEN,GREEN
Samarkand,Samarkand district,Hospital_095,0.0,1.0,0.3,0.3,0.6,0.8,1.0,0.8,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.6,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.4,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.052723587722287975,0.0,0.0,0.8,0.02,0.64,0.68,39.65417,66.95972,RED,RED
Samarkand,Kattakurgan city,Hospital_097,0.0,0.5,0.3,0.6,0.3,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.6,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005620032427432049,0.0,0.0,1.0,0.0,0.73,0.89,39.89889,66.25611,RED,RED
Samarkand,Bulungur district,Hospital_098,0.0,1.0,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7,1.0,1.0,1.0,0.6,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015816521726242849,0.0,0.0,0.8,0.0,0.77,0.85,39.7573054,67.27287,RED,RED
Samarkand,Jomboy district,Hospital_099,0.0,0.5,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6,0.5,1.0,1.0,0.0,1.0,1.0,0.4,1.0,0.17422274668927965,0.0,0.0,1.0,0.06,0.7,0.73,39.69889,67.09333,YELLOW,YELLOW
Samarkand,Narpay district,Hospital_100,0.0,0.5,0.3,0.3,0.6,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03418008430448693,0.008564044856381648,0.008564044856381648,1.0,0.02,0.72,0.85,39.9223,65.925,GREEN,YELLOW
Samarkand,Oqdaryo district,Hospital_101,0.0,0.5,0.3,1.0,0.3,0.8,0.4,0.8,0.1,0.1,0.5,0.1,0.0,0.5,0.0,0.0,0.5,0.6,1.0,1.0,1.0,0.7,0.5,0.6,0.5,0.0,0.0,0.0,0.5,0.4,0.4,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.06697842959764218,0.021969648778008916,0.021969648778008916,0.2,0.04,0.37,0.51,39.9092,67.0916,RED,RED
Samarkand,Qushrabat district,Hospital_103,0.0,0.5,0.3,0.3,0.6,0.8,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08314690514657695,0.032002556606419784,0.032002556606419784,0.8,0.05,0.71,0.95,40.3333,66.5,YELLOW,YELLOW
Samarkand,Nurabad district,Hospital_104,0.0,0.5,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.4,0.6,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.04818137954922404,0.0,0.0,1.0,0.02,0.7,0.67,39.6100912,66.29622,RED,RED
Samarkand,Samarkand city,Hospital_105,0.0,1.0,1.0,0.6,0.6,1.0,0.4,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.3,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.7,1.0,0.4,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.0003130774464860158,0.0,0.0,0.8,0.0,0.67,0.69,39.65417,66.95972,RED,RED
Samarkand,Payarik district,Hospital_106,0.0,1.0,0.3,0.3,0.3,0.8,0.4,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.3,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.0,0.6,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0006435436430208419,9.575611948212018e-05,9.575611948212018e-05,1.0,0.0,0.61,0.59,39.98917,66.84583,RED,RED
Samarkand,Paxtachi district,Hospital_108,0.0,1.0,0.3,0.3,0.3,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.06765823634649948,0.032002556606419784,0.032002556606419784,1.0,0.04,0.71,0.72,39.9167,66.0,YELLOW,YELLOW
Samarkand,Pastargom district,Hospital_109,0.0,0.5,0.3,1.0,1.0,0.8,0.0,0.8,0.1,0.1,0.1,0.1,0.5,1.0,0.0,0.0,0.0,0.6,1.0,0.0,0.5,0.4,0.0,0.6,0.5,1.0,0.0,0.0,0.0,0.4,0.4,0.6,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.6541064892046706,0.0,0.0,0.2,0.22,0.33,0.4,39.65,67.2,RED,RED
Samarkand,Bulungur district,Hospital_110,0.0,0.5,0.3,0.3,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.03334545730221871,0.014435097200312384,0.014435097200312384,0.8,0.02,0.75,0.78,39.7573054,67.27287,YELLOW,YELLOW
Samarkand,Ishtihan district,Hospital_112,0.0,0.5,0.7,0.3,0.3,0.8,0.4,0.8,0.1,0.1,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.29249680221271573,0.3193134267017339,0.3193134267017339,0.2,0.31,0.35,0.55,39.8371,66.4843,RED,RED
Samarkand,Bulungur district,Hospital_114,0.0,1.0,0.3,0.3,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.5,1.0,0.7,1.0,0.8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04609362566190875,0.0,0.0,0.8,0.02,0.78,0.85,39.7573054,67.27287,GREEN,GREEN
Samarkand,Jomboy district,Hospital_115,0.0,0.5,0.7,0.3,0.6,0.8,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0008095547973979521,0.001219676046915862,0.001219676046915862,1.0,0.0,0.75,0.78,39.69889,67.09333,RED,RED
Samarkand,Narpay district,Hospital_116,0.0,0.3,0.3,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.047668465147423476,0.12166680820699004,0.12166680820699004,0.8,0.1,0.76,0.95,39.9223,65.925,GREEN,GREEN
Samarkand,Oqdaryo district,Hospital_117,0.0,1.0,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.026465591612348464,0.002324909496639708,0.002324909496639708,0.8,0.01,0.79,0.74,39.9092,67.0916,YELLOW,YELLOW
Samarkand,Qushrabat district,Hospital_119,0.0,0.5,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5999297670203368,0.0,0.0,0.8,0.2,0.73,0.82,40.3333,66.5,GREEN,GREEN
Samarkand,Nurabad district,Hospital_120,0.0,0.5,0.3,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0474113769686065,0.0,0.0,0.8,0.02,0.75,0.87,39.6100912,66.29622,GREEN,GREEN
Samarkand,Samarkand city,Hospital_121,0.0,0.5,0.3,0.3,0.3,0.8,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.4,0.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.5,5.2979866040789865e-05,5.2844565469488966e-05,5.2844565469488966e-05,0.8,0.0,0.6,0.6,39.65417,66.95972,RED,RED
Samarkand,Payarik district,Hospital_122,0.0,0.5,0.3,0.3,0.6,0.8,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.04111122347493331,0.008564044856381648,0.008564044856381648,0.8,0.02,0.71,0.92,39.98917,66.84583,YELLOW,YELLOW
